,Group_1,Group_2,Group_3,Group_4,Soma
2743,0.4414350425252523,0.0016208183046868686,0.0004650010515151515,0.001353832653757576,0.4448746945352119
2449,0.26459864424242424,0.08454784762626259,0.0407257295151515,0.04614274252222222,0.4360149639060606
2465,0.00654072346060606,0.001163417262171717,0.266049599090909,0.14934431828282832,0.423098058096515
31,0.4042570381818182,4.652975757575758e-07,0.010843793592353535,7.805146410101012e-05,0.4151793485358485
456,0.0017066844584848482,0.00010471532858585857,0.22404129771717168,0.18202328333333329,0.4078759808375757
2473,0.08078774872727275,0.2668886197979798,0.017338424779141416,0.014320015873131312,0.37933480917752527
1418,0.0010659159569191919,0.00014156764716161612,0.10362813045454543,0.2647899408080808,0.36962555486670706
2304,5.82798129090909e-05,0.3295571354545454,0.026740947152474746,0.005054843460303029,0.3614112058802323
2387,0.00023287530202020196,0.01669383094545454,0.05945998654444446,0.28062125141414146,0.35700794420606063
88,0.30542271868686877,0.0431269295979798,0.004225285775555555,0.0022794316320505054,0.35505436569245463
533,0.135493360030303,0.11821306965656563,0.022356986731111108,0.07842697974747478,0.3544903961654545
2837,0.0003701898357575759,0.00021015711515151513,0.1894616684343435,0.15793838714141414,0.34798040252666673
2403,0.0005671108038888888,0.21878213217171708,0.0020969022350505045,0.12336480362626265,0.3448109488369191
2418,0.0010269119085858586,0.30286651,0.026904461666262633,0.006408682099808083,0.33720656567465657
2729,0.0016786867061616157,0.0033110701994949502,0.13190353525252524,0.19657587479797986,0.3334691669561617
2484,0.0010196420187878789,0.007743809323333333,0.18548373985858582,0.13425123635353534,0.3284984275542424
2392,0.20398693096969697,0.08947136404040403,0.015032156938282838,0.014060269160606058,0.3225507211089899
2460,0.28241278511111095,0.0007302656258181817,0.02714566233939395,0.0027429625132323232,0.3130316755895554
461,0.004653536460808081,0.2852883216161617,0.0012691828043030302,0.014204633951454541,0.30541567483272736
1664,0.002273887472121211,0.2360745914242425,0.04834418631313132,0.01669397379686869,0.30338663900636376
2496,0.0034452250660303037,0.2598229460606061,0.011320388998737373,0.01500315061494949,0.28959171074032325
463,0.00016796135181818182,3.6131999494949496e-05,0.08779416460000004,0.19944761121212123,0.2874458691634344
459,3.402912975757575e-05,0.05097459524242425,0.230234624080808,0.003922607631868687,0.2851658560848585
15,0.07645483952020203,0.017923750458515148,0.005315160230424244,0.18534030597979798,0.2850340561889394
2377,0.17560746608080807,0.00035981904595959593,0.0978860232828283,0.004804550114141414,0.2786578585237374
884,0.00034051752488888884,1.9750868313131316e-05,0.0007085169401212123,0.2724828390909089,0.27355162442423214
2583,5.712659494949495e-05,0.13786475620202027,0.040800240686868695,0.08819411714141415,0.2669162406252526
2115,0.0015392087230303032,0.00661906788161616,0.2517281304444446,0.0010847719106565653,0.26097117895974764
2422,0.05272655307181818,0.10562728939393934,0.08065827081818182,0.018792028304040392,0.2578041415879797
1385,0.01011467958581818,0.006776188835757576,0.2240125540404041,0.016166150997979804,0.2570695734599597
422,0.2502460377777778,5.5464113535353536e-06,0.0009414122976565654,0.00014833777819191923,0.2513413342649798
2238,0.2492230756262627,0.00010149073333333334,0.001023118336868687,0.000281367134989899,0.25062905183145456
1781,0.012512606809090913,0.21534081766666668,0.006143073926969699,0.0019426615308787878,0.2359391599336061
2459,0.011199269743636362,0.007410535697575759,0.20804330530303042,0.0073516641582828295,0.2340047749025254
478,0.006880647404343431,0.0006111878851313131,0.19068991260606058,0.027656416922222208,0.22583816481775754
1533,0.0018130428381313134,0.21893453595959597,0.0006226910817171717,0.002296863753030304,0.22366713363247476
2482,0.17885663945454547,0.00036601976672727274,0.0011192016594646467,0.042285054398989906,0.22262691527972728
2006,0.037402022838383835,0.06297617694949496,0.10754171644949496,0.014423297455555558,0.22234321369292934
2419,0.06361984844444442,0.00019789574111111108,0.13926454459595963,0.01783205952070707,0.22091434830222223
2310,0.0023977933649494956,0.0001507869992929293,0.020225455327878786,0.19297789945454544,0.21575193514666666
84,0.0040483308076363625,0.040325114827272725,0.035964283516969675,0.1346339165757576,0.21497164572763636
2395,0.0012611858369292927,0.0009577964106060606,0.02922504115737374,0.17351526915151505,0.20495929255642414
1825,0.0007118536093939395,0.1738060895959596,0.006135383726505049,0.01701986277965656,0.19767318971151515
2165,0.001375075638828283,0.0006758704401414141,0.09928772723232325,0.0923208753232323,0.19365954863452525
1318,0.00013334988022222223,0.18548039398989907,0.0011495737022222223,0.004912070146808079,0.1916753877191516
1576,0.00014153892767676768,0.13303990966666668,0.054711127709090916,0.0018404628368282837,0.18973303914026265
864,0.011968386936868688,0.01089401513010101,0.04049238534545453,0.12577338090909088,0.1891281683215151
2307,0.003507175944818182,0.0012305688276767679,0.09255467832323232,0.08981058766767679,0.18710301076340405
2279,0.022938519981818176,0.0461748469388889,0.11225679270707066,0.004246505204020202,0.18561666483179795
228,5.651126141414141e-05,5.415717979797979e-06,2.09587638989899e-05,0.18461010454545457,0.1846929902887475
2287,0.15733093922222222,0.0016567607920202018,0.0012503242983838388,0.01226957757818182,0.17250760189080808
1297,0.0013396224605656559,0.03758240725656567,0.0738619935555556,0.05967484737777778,0.1724588706504647
310,0.005269763517646463,8.631429474747475e-05,0.15788213014141408,0.0024641945355252538,0.1657024024893333
257,0.0006010047897171718,0.10817418005050507,0.039679004373737364,0.013141011883434339,0.16159520109739392
2414,0.018042510135656567,0.00028709323055555553,0.1367247096262626,0.006539376887878786,0.1615936898803535
343,0.0007447151136363635,0.13294117944444442,0.0030237891553131307,0.024248976482080815,0.16095866019547472
2433,0.0005299204966666666,0.0006577789638383837,0.03994382947171717,0.11903988405050504,0.16017141298272727
